,obser,lowerCI,upperCI,pred,adjObser
1,8.9125,6.18,9.0732,7.861,8.981401667
2,8.9625,6.18,9.0732,7.7733,9.031401667
3,8.7714,6.18,9.0732,7.4808,8.840301667
4,8.4429,6.18,9.0732,7.3913,8.511801667
5,8.3625,5.6379,8.2847,7.2314,8.506533891
6,8.025,5.6379,8.2847,7.0186,8.169033891
7,7.9714,5.6379,8.2847,6.8122,8.115433891
8,7.9286,5.6379,8.2847,6.7831,8.072633891
9,7.825,5.472,8.013,6.967,8.028552715
10,7.625,5.472,8.013,6.7839,7.828552715
11,7.4143,5.472,8.013,6.5878,7.617852715
12,7.2286,5.472,8.013,6.6311,7.432152715
13,7.3875,5.7442,8.1393,6.9406,7.474580996
14,7.475,5.7442,8.1393,6.9926,7.562080996
15,7.3,5.7442,8.1393,7.0437,7.387080996
16,7.3429,5.7442,8.1393,6.7901,7.429980996
17,7.5625,5.9402,8.6111,7.0684,7.626748655
18,7.6125,5.9402,8.6111,7.0631,7.676748655
19,7.5857,5.9402,8.6111,7.245,7.649948655
20,7.6714,5.9402,8.6111,7.7261,7.735648655
21,7.75,6.6656,9.3653,8.153,7.806664569
22,7.65,6.6656,9.3653,8.1933,7.706664569
23,7.8,6.6656,9.3653,7.9191,7.856664569
24,7.7143,6.6656,9.3653,7.7963,7.770964569
25,8.125,6.3583,9.3587,7.9534,8.162202706
26,8.3375,6.3583,9.3587,7.9382,8.374702706
27,8.3714,6.3583,9.3587,7.7048,8.408602706
28,8.4,6.3583,9.3587,7.8375,8.437202706
29,8.2875,5.1318,10.061,8.0423,7.648127947
30,8.1375,5.1318,10.061,7.7106,7.498127947
31,8.2143,5.1318,10.061,7.3976,7.574927947
32,7.9857,5.1318,10.061,7.2343,7.346327947
33,7.8375,3.6094,9.7573,6.998,7.495104457
34,7.4875,3.6094,9.7573,6.7286,7.145104457
35,7.0571,3.6094,9.7573,6.7501,6.714704457
36,6.2714,3.6094,9.7573,6.2567,5.929004457
37,5.0625,0,8.4841,5.8108,5.290747957
38,4.5,0,8.4841,4.2625,4.728247957
39,4.1714,0,8.4841,3.4783,4.399647957
40,3.4571,0,8.4841,2.844,3.685347957
41,2.9625,0.11365,3.5413,2.4249,3.076412055
42,2.6125,0.11365,3.5413,1.9399,2.726412055
43,1.7,0.11365,3.5413,1.7277,1.813912055
44,1.3429,0.11365,3.5413,1.2175,1.456812055
45,1.2125,0,2.0575,1.1253,1.185130653
46,1.025,0,2.0575,0.86062,0.997630653
47,0.71429,0,2.0575,1.1821,0.686920653
48,0.77143,0,2.0575,0.60578,0.744060653
49,0.5375,0,2.0281,0.59733,0.626703389
50,0.525,0,2.0281,0.74068,0.614203389
51,0.65714,0,2.0281,1.1735,0.746343389
52,0.55714,0,2.0281,1.2104,0.646343389
53,0.7,0,2.9968,1.204,0.906819972
54,0.675,0,2.9968,0.92782,0.881819972
55,0.82857,0,2.9968,1.9864,1.035389972
56,0.85714,0,2.9968,1.5831,1.063959972
57,0.9875,0,3.311,1.4488,1.035897248
58,1.075,0,3.311,1.4677,1.123397248
59,1.3571,0,3.311,1.5775,1.405497248
60,1.7286,0,3.311,1.5382,1.776997248
61,1.925,0,3.4101,1.2222,2.215076216
62,2.125,0,3.4101,1.3847,2.415076216
63,2.1286,0,3.4101,1.7458,2.418676216
64,2.4429,0,3.4101,1.5699,2.732976216
65,2.9125,0,4.6555,1.4544,2.803321086
66,3.4,0,4.6555,2.0469,3.290821086
67,4.2143,0,4.6555,2.2095,4.105121086
68,4.8143,0,4.6555,2.4958,4.705121086
69,5.15,2.4643,6.0481,3.7169,5.271130817
70,5.4,2.4643,6.0481,4.3081,5.521130817
71,5.5857,2.4643,6.0481,4.6951,5.706830817
72,5.5,2.4643,6.0481,4.3046,5.621130817
73,5.2625,3.7017,6.3059,4.5419,5.397068072
74,5.5125,3.7017,6.3059,4.8027,5.647068072
75,5.5143,3.7017,6.3059,5.3461,5.648868072
76,5.5857,3.7017,6.3059,5.3244,5.720268072
77,5.925,4.4429,6.8323,5.7228,6.110815699
78,5.975,4.4429,6.8323,5.8383,6.160815699
79,6.1571,4.4429,6.8323,5.6724,6.342915699
80,6.1286,4.4429,6.8323,5.3167,6.314415699
81,6.1,4.7899,6.8269,5.5505,6.117139653
82,6.175,4.7899,6.8269,5.8349,6.192139653
83,6.1143,4.7899,6.8269,6.0236,6.131439653
84,6.4286,4.7899,6.8269,5.8245,6.445739653
85,6.675,5.5158,7.845,6.2118,6.796001212
86,7.075,5.5158,7.845,6.6006,7.196001212
87,7.2571,5.5158,7.845,7.0749,7.378101212
88,7.5714,5.5158,7.845,6.8344,7.692401212
89,7.975,6.7363,9.4598,7.6687,7.935633486
90,7.975,6.7363,9.4598,8.103,7.935633486
91,8.4571,6.7363,9.4598,8.2169,8.417733486
92,8.9429,6.7363,9.4598,8.4036,8.903533486
93,10.025,7.2813,10.554,9.1067,8.869378027
94,10.05,7.2813,10.554,9.1808,8.894378027
95,9.5429,7.2813,10.554,8.7987,8.387278027
96,9.5571,7.2813,10.554,8.5852,8.401478027
,,,,,9.031401667
